,time,strain1,strain2,strain3,strain4,raw_strain_strain2,stress_strain2
149,30821,125,112,0,129,2.9549546979978913e-05,0.0020359637869205474
150,31022,126,108,108,153,0.0,0.0
151,31224,125,112,0,0,2.9549546979978913e-05,0.0020359637869205474
152,31424,126,108,108,152,0.0,0.0
153,31626,128,112,85,154,2.9549546979978913e-05,0.0020359637869205474
154,31827,125,108,108,152,0.0,0.0
155,32028,124,112,0,0,2.9549546979978913e-05,0.0020359637869205474
156,32227,125,108,108,152,0.0,0.0
157,32430,127,112,3,149,2.9549546979978913e-05,0.0020359637869205474
158,32630,125,109,108,152,7.387292222257201e-06,0.0005089844341135211
159,32832,126,112,0,147,2.9549546979978913e-05,0.0020359637869205474
160,33033,126,110,100,154,1.4774647458831252e-05,0.0010179732099134732
161,33234,127,112,87,153,2.9549546979978913e-05,0.0020359637869205474
162,33437,125,109,108,151,7.387292222257201e-06,0.0005089844341135211
163,33638,127,112,99,153,2.9549546979978913e-05,0.0020359637869205474
164,33839,125,109,56,148,7.387292222257201e-06,0.0005089844341135211
165,34039,125,110,85,149,1.4774647458831252e-05,0.0010179732099134732
166,34241,125,112,7,143,2.9549546979978913e-05,0.0020359637869205474
167,34443,125,109,108,150,7.387292222257201e-06,0.0005089844341135211
168,34642,124,109,108,150,7.387292222257201e-06,0.0005089844341135211
169,34846,127,112,18,149,2.9549546979978913e-05,0.0020359637869205474
170,35046,124,109,108,150,7.387292222257201e-06,0.0005089844341135211
171,35248,126,112,0,144,2.9549546979978913e-05,0.0020359637869205474
172,35451,124,109,108,150,7.387292222257201e-06,0.0005089844341135211
173,35653,126,112,0,145,2.9549546979978913e-05,0.0020359637869205474
174,35855,127,112,98,152,2.9549546979978913e-05,0.0020359637869205474
175,36056,124,109,108,149,7.387292222257201e-06,0.0005089844341135211
176,36256,124,109,108,149,7.387292222257201e-06,0.0005089844341135211
177,36457,127,112,101,152,2.9549546979978913e-05,0.0020359637869205474
178,36669,124,109,108,149,7.387292222257201e-06,0.0005089844341135211
179,36872,123,112,0,0,2.9549546979978913e-05,0.0020359637869205474
180,37073,124,109,108,148,7.387292222257201e-06,0.0005089844341135211
181,37274,124,109,108,149,7.387292222257201e-06,0.0005089844341135211
182,37475,124,112,0,137,2.9549546979978913e-05,0.0020359637869205474
183,37676,123,112,0,0,2.9549546979978913e-05,0.0020359637869205474
184,37877,123,113,0,0,3.693709126556232e-05,0.002544965588197244
185,38080,124,109,108,148,7.387292222257201e-06,0.0005089844341135211
186,38282,124,109,108,148,7.387292222257201e-06,0.0005089844341135211
187,38483,126,112,101,151,2.9549546979978913e-05,0.0020359637869205474
188,38683,125,112,0,144,2.9549546979978913e-05,0.0020359637869205474
189,38885,124,109,108,148,7.387292222257201e-06,0.0005089844341135211
190,39086,124,109,108,148,7.387292222257201e-06,0.0005089844341135211
191,39288,122,113,0,0,3.693709126556232e-05,0.002544965588197244
192,39486,126,112,98,150,2.9549546979978913e-05,0.0020359637869205474
193,39686,124,109,108,147,7.387292222257201e-06,0.0005089844341135211
194,39887,124,109,109,147,7.387292222257201e-06,0.0005089844341135211
195,40089,126,112,82,148,2.9549546979978913e-05,0.0020359637869205474
196,40290,124,109,109,147,7.387292222257201e-06,0.0005089844341135211
197,40489,124,109,109,147,7.387292222257201e-06,0.0005089844341135211
198,40693,123,109,108,147,7.387292222257201e-06,0.0005089844341135211
199,40893,123,109,109,146,7.387292222257201e-06,0.0005089844341135211
200,41092,124,112,0,141,2.9549546979978913e-05,0.0020359637869205474
201,41294,123,109,109,146,7.387292222257201e-06,0.0005089844341135211
202,41495,122,112,0,0,2.9549546979978913e-05,0.0020359637869205474
203,41698,123,109,109,146,7.387292222257201e-06,0.0005089844341135211
204,41901,123,109,109,146,7.387292222257201e-06,0.0005089844341135211
205,42101,126,112,101,149,2.9549546979978913e-05,0.0020359637869205474
