time,accel1_x,accel1_y,accel1_z,aT
14.18,0.118,0.9006,-0.0082,0.908
14.182,0.2832,0.8774,-0.9096,1.295
14.187,0.2989,-0.7924,0.0973,0.852
14.19,-0.3605,-0.3233,-0.9358,1.054
14.191,0.4549,0.5736,-0.4976,0.885
14.193,0.2302,0.0625,-0.3635,0.435
14.208,0.1222,-0.183,-0.0833,0.235
14.213,0.0101,-0.4638,-0.4939,0.678
14.283,-0.4994,-0.4365,-0.6543,0.932
14.29,0.5329,0.6323,-0.4054,0.921
14.294,0.2243,0.892,0.21,0.943
