time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z
93340,78.5,120.0,-333.0,-37.0,106.0,-349.0
93350,69.0,0.0,-237.0,69.0,0.0,-237.0
93360,-91.0,16.5,-232.0,55.0,81.0,-199.0
93370,172.0,46.0,-224.0,172.0,46.0,-224.0
93380,4.0,86.0,-477.5,4.0,86.0,-477.5
93390,67.0,274.0,-456.0,67.0,274.0,-456.0
93400,26.0,313.0,-237.0,26.0,313.0,-237.0
93410,-40.5,188.5,-229.5,-44.0,40.5,-229.5
93420,-31.0,-448.0,-208.0,-31.0,-448.0,-208.0
93430,138.0,82.0,-286.0,138.0,82.0,-286.0
93440,-128.0,-418.0,-371.0,-128.0,-418.0,-371.0
93450,16.0,-256.0,-470.0,8.0,-511.0,-376.0
93460,4.0,-383.0,-512.0,4.0,-383.0,-512.0
93470,-221.5,70.0,-479.5,-221.5,70.0,-479.5
93480,5.0,32.0,-495.0,5.0,32.0,-495.0
93490,-250.0,97.0,-412.5,-507.0,98.0,-404.0
93500,-123.5,280.0,-358.0,-123.5,280.0,-358.0
93510,16.0,-512.0,-244.0,58.0,-96.0,-478.0
93520,25.0,-380.0,-477.0,145.0,-502.0,-511.0
93530,145.0,-502.0,-511.0,145.0,-502.0,-511.0
93540,1.0,-256.0,-384.0,1.0,-256.0,-384.0
93550,324.0,36.0,-448.0,324.0,36.0,-448.0
93560,45.0,42.5,-392.0,45.0,42.5,-392.0
93570,74.5,475.0,-246.0,-63.0,356.5,-230.0
93580,16.0,160.0,-159.0,16.0,160.0,-159.0
93590,86.0,105.0,-334.0,86.0,105.0,-334.0
93600,-384.0,0.0,-448.0,-384.0,0.0,-448.0
93610,-252.5,-431.0,-495.0,-252.5,-431.0,-495.0
93620,7.0,-416.0,-350.0,6.0,16.0,-352.0
93630,154.5,59.0,-416.0,103.5,66.5,-302.0
93640,2.0,-172.0,-248.0,2.0,-172.0,-248.0
93650,-254.0,-512.0,-454.0,-252.0,-512.0,-502.0
93660,8.0,0.0,-438.0,8.0,0.0,-438.0
93670,40.0,41.5,-394.5,40.0,41.5,-394.5
93680,-47.0,237.5,-322.0,-47.0,197.0,-318.0
93690,-242.0,72.0,-254.0,-242.0,72.0,-254.0
