time,accel1_x,accel1_y,accel1_z,accel2_x,accel2_y,accel2_z,accel3_x,accel3_y,accel3_z,accel4_x,accel4_y,accel4_z
2490,28,-128,18,-120,44,2240,44,-34,88,44,-34,88
2500,-28,-68,-92,-32,86,1190,124,76,28,124,76,28
2510,-120,118,-10,70,116,720,-112,46,-64,-112,46,-64
2520,-28,-12,-94,-74,-74,980,10,112,-2,10,112,-2
2530,100,-22,-92,26,80,2210,120,-4,56,120,-4,56
2540,82,22,-48,-42,32,500,118,-100,126,118,-100,126
2550,126,-56,-6,-16,-22,2180,26,-32,-76,26,-32,-76
2561,-112,-112,-32,-28,-124,1030,-116,-100,68,-116,-100,68
2570,-74,-112,-26,74,-62,3300,-116,-100,68,14,46,118
2580,60,-128,42,58,44,3280,14,46,118,10,56,84
2590,114,8,-54,-46,120,2280,10,56,84,-86,-24,86
2600,-114,54,92,-74,4,2780,-86,-24,86,-116,86,6
2610,-50,8,50,-118,0,2290,-116,86,6,-40,-24,24
2620,-70,-22,100,32,-110,2170,-40,-24,24,-100,-114,96
2630,-58,-52,110,-78,64,2990,-100,-114,96,-100,-114,96
2640,14,-52,-62,72,-110,1740,40,-54,56,40,-54,56
2650,18,-68,-84,12,-126,2300,-16,86,30,-16,86,30
2660,-128,28,-36,-68,-6,2500,110,26,20,110,26,20
2670,64,-102,42,52,-80,1950,110,-4,-110,110,-4,-110
2680,6,-28,88,2,-116,1880,-46,52,-58,-46,52,-58
2691,-108,98,120,-128,-126,1810,-96,-30,116,-96,-30,116
2700,112,-58,78,-120,50,2040,-46,-114,108,-46,-114,108
2710,-90,-108,-86,4,86,1000,114,116,8,114,116,8
2720,-90,-108,-86,110,-50,940,-62,106,-24,-62,106,-24
2731,-58,48,-112,28,-100,1080,-122,-124,58,-122,-124,58
2740,22,-48,-104,38,-108,740,74,-54,92,74,-54,92
2750,-70,-126,14,112,0,2360,16,20,116,16,20,116
2760,112,-78,98,-10,-24,940,-20,40,-128,-20,40,-128
2770,-102,-98,-10,-62,118,3320,-16,46,86,-16,46,86
2780,36,28,-62,90,-68,3620,-50,-64,-88,-50,-64,-88
2800,84,74,-106,102,24,2670,-86,-84,-18,-86,-84,-18
2810,-72,104,8,58,76,1670,-80,112,-10,-80,112,-10
2820,-108,88,62,-118,-10,2390,86,-114,-80,86,-114,-80
2830,28,-92,110,-108,44,2980,-20,112,-20,-20,112,-20
2840,34,-128,-18,-28,-70,2020,-126,42,118,-126,42,118
2850,-6,-112,104,96,14,2810,-110,-84,-120,-110,-84,-120
2861,22,-108,-30,66,-106,2540,80,-24,-116,80,-24,-116
2870,-112,-42,-6,82,-76,1980,90,102,66,90,102,66
2880,66,68,-92,-108,34,1640,-28,-70,-28,-28,-70,-28
2890,100,68,-88,-4,-116,1910,94,-24,28,94,-24,28
2900,-34,-58,110,-80,-124,480,-12,-14,64,-12,-14,64
2910,-14,2,-118,20,86,780,-56,96,-84,-56,96,-84
2920,-88,-82,-62,96,-60,1740,50,-8,-22,50,-8,-22
2930,-32,-32,26,-122,-64,1070,-32,16,-106,-32,16,-106
2940,52,-58,64,-106,-72,2450,100,22,102,100,22,102
2950,-34,-46,-8,-60,82,860,-50,16,94,-50,16,94
2960,74,38,-32,24,12,3740,70,6,42,70,6,42
2970,-32,124,-124,-2,-56,2850,-46,-64,24,-46,-64,24
2980,4,-98,108,4,-106,2110,-70,112,-90,-70,112,-90
2990,-114,58,-128,22,54,2800,30,-94,6,30,-94,6
3000,-82,44,-118,-94,66,1900,0,-114,-70,0,-114,-70
3010,126,38,116,18,120,2530,56,82,-120,56,82,-120
3020,110,-122,-40,-118,70,2440,-50,-48,-14,-50,-48,-14
3031,-110,-22,-16,6,-30,1950,-86,-44,86,-86,-44,86
3040,78,-108,-58,68,-106,2370,0,-4,-70,0,-4,-70
3050,-28,78,-58,92,124,2620,30,6,40,30,6,40
3060,-22,8,104,-54,-66,2290,80,112,-64,80,112,-64
3070,-80,-2,-98,-78,0,1530,100,-50,-74,100,-50,-74
3080,34,68,-88,86,34,2110,-112,-104,-112,-112,-104,-112
3090,-28,-38,-46,98,96,1410,-92,-44,-86,-92,-44,-86
3100,40,-38,2,40,-20,720,44,-64,-108,44,-64,-108
3110,78,-12,-68,46,6,900,24,122,-128,24,122,-128
3120,-98,-82,-22,-50,92,870,4,-94,6,4,-94,6
3130,2,42,-48,102,-120,1640,4,-94,6,-74,126,108
3140,36,48,-70,48,110,1880,-74,126,108,-76,60,36
3150,-34,8,86,102,-46,2710,-76,60,36,22,-100,92
3161,-24,64,-44,0,-98,4080,22,-100,92,20,106,-68
3170,118,-118,-112,-20,-70,2350,20,106,-68,100,-124,102
3180,-50,-52,68,-16,16,2240,100,-124,102,100,-124,102
3190,-102,34,-98,28,70,2470,-106,96,26,-106,96,26
3201,-42,-42,122,-68,-104,1840,46,46,-122,46,46,-122
3210,-52,-112,-80,-12,-56,2930,50,-24,-90,50,-24,-90
3220,-2,-12,78,-58,-70,2060,90,-114,86,90,-114,86
3230,36,-32,-62,-110,100,1970,34,26,30,34,26,30
3240,-78,-108,-114,-68,-106,2470,126,-90,-6,126,-90,-6
3250,124,-92,54,-4,-56,2710,40,36,0,40,36,0
3260,66,48,-52,-84,90,2320,-36,-94,-24,-36,-94,-24
3270,-90,108,74,-42,110,1650,-60,40,-120,-60,40,-120
3280,-8,-58,-108,86,-76,2140,-2,42,-108,-2,42,-108
3290,50,-78,-84,48,-110,1240,-92,-50,-32,-92,-50,-32
3300,-114,78,102,-100,126,590,70,-110,2,70,-110,2
3310,68,-112,46,-108,86,1210,-106,-94,44,-106,-94,44
3320,-120,124,-114,28,14,-110,-36,-24,46,-36,-24,46
3331,96,4,-78,-54,-50,2940,-96,-104,-36,-96,-104,-36
3340,122,4,-6,50,-36,2720,-70,-94,54,-70,-94,54
3350,-96,-88,-10,-94,-42,3310,98,40,-94,98,40,-94
3360,4,78,88,-30,66,2510,-76,112,-66,-76,112,-66
3371,-112,88,-72,58,-70,2110,-100,102,-44,-100,102,-44
3380,112,18,-116,-38,-96,2400,-116,-24,26,-116,-24,26
3390,-50,-92,112,58,36,1950,-70,92,76,-70,92,76
3400,126,-32,-60,48,-86,2610,126,82,-60,126,82,-60
3410,98,38,-46,-114,60,2430,50,-84,-110,50,-84,-110
3420,100,-32,34,116,40,1990,-16,-34,86,-16,-34,86
3430,-14,-108,96,108,-46,2400,10,6,40,10,6,40
3440,-118,-2,74,-8,-116,2500,50,36,30,50,36,30
3450,4,-52,52,-4,50,1910,-126,122,46,-126,122,46
3460,-96,-28,-66,88,-126,1530,36,16,20,36,16,20
3470,68,88,88,126,4,2150,44,-44,-58,44,-44,-58
3480,-54,-88,-68,-32,116,1210,104,76,-38,104,76,-38
3490,-84,38,-94,-120,56,590,-112,-14,76,-112,-14,76
3501,2,8,36,-38,16,1110,-126,112,-78,-126,112,-78
3510,100,68,44,56,-6,2350,-86,52,-94,-86,52,-94
3520,14,48,60,52,94,2460,74,86,-34,74,86,-34
3530,-56,50,64,12,-44,-250,86,-20,-10,86,-20,-10
3540,-48,88,-46,34,18,2920,-126,106,120,-126,106,120
3550,-112,88,60,-120,80,2170,100,-110,98,100,-110,98
3560,-68,-82,22,-106,44,2830,20,112,-116,20,112,-116
3570,78,58,70,-40,34,3060,-30,-114,104,-30,-114,104
3580,4,38,-48,-80,-106,2620,70,42,-116,70,42,-116
3590,-118,-92,-116,-48,44,2840,120,-74,-100,120,-74,-100
3610,-92,8,40,108,-106,2620,30,-54,66,30,-54,66
3620,58,98,-92,-68,-56,2470,50,-114,2,50,-114,2
3630,114,18,120,-14,112,1890,-80,122,22,-80,122,22
3640,78,38,-26,98,50,2430,40,26,-110,40,26,-110
3650,18,38,54,56,54,2390,50,102,-84,50,102,-84
3660,6,118,-18,112,-56,2120,26,96,92,26,96,92
3671,8,88,-24,-72,110,1750,4,-120,-44,4,-120,-44
3680,-118,-108,100,26,-36,2190,4,-120,-44,-112,16,18
3690,-90,118,-76,-2,-50,1370,-112,16,18,-72,70,-4
3700,48,-52,-36,-20,40,710,-72,70,-4,-92,32,124
3710,62,8,82,-128,112,540,-92,32,124,54,62,8
3720,-60,116,36,-92,-84,790,54,62,8,-60,-106,-64
3730,-114,48,98,-110,-46,2850,-60,-106,-64,100,4,-126
3740,-90,-88,-10,-6,-62,560,100,4,-126,100,4,-126
3750,66,-8,-10,-10,2,4190,114,110,84,114,110,84
3760,124,88,-50,-82,22,3890,-36,76,122,-36,76,122
3770,44,4,-94,88,-2,2480,50,-104,-114,50,-104,-114
3780,-6,-32,76,-54,76,1920,24,-4,98,24,-4,98
3790,-52,98,-120,-48,54,2850,-110,-94,-16,-110,-94,-16
3801,-42,-82,-80,62,-66,2670,26,-94,-126,26,-94,-126
3810,-42,-82,-80,32,116,1990,-30,-64,126,-30,-64,126
3820,-22,-98,122,-84,44,2430,24,16,-28,24,16,-28
3830,-44,-88,98,22,-46,2440,96,-104,86,96,-104,86
3841,-104,48,52,-88,60,2240,110,86,20,110,86,20
3850,84,48,24,-48,30,1620,-86,6,-114,-86,6,-114
3860,-110,-98,-72,92,-106,1490,-10,106,72,-10,106,72
3870,-52,28,-80,-114,-40,1550,-106,-24,118,-106,-24,118
3880,-82,62,-24,-80,116,720,104,46,18,104,46,18
3890,-88,-58,8,66,6,970,8,86,92,8,86,92
3900,42,78,-28,-90,32,650,34,-94,74,34,-94,74
3910,-112,8,-52,108,-98,1050,-112,56,-24,-112,56,-24
3920,-122,-106,8,-58,78,2450,6,-14,-36,6,-14,-36
3930,-78,-42,-52,-44,36,1730,-50,-100,-90,-50,-100,-90
3940,-100,-8,-10,-126,-124,4530,-92,-70,90,-92,-70,90
3950,-6,-18,-10,-110,0,2740,-106,86,22,-106,86,22
3960,44,34,-58,4,108,1480,100,62,-94,100,62,-94
3971,80,74,6,98,-26,2870,-116,-44,52,-116,-44,52
3980,-66,-72,116,62,16,1570,46,-24,74,46,-24,74
